uniprotAC,superkingdom,phylum,class,order,family,genus,species,deepfri prediction1,deepfri prediction2
A0A3N6P9C6,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrarchaeobius,Natrarchaeobius halalkaliphilus,signaling receptor binding,carbohydrate binding
A0A3A6QB52,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,Halonotius pteroides,thiolester hydrolase activity,lyase activity
M0K299,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula amylolytica,lyase activity,
A0A1Q1FLI6,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,Halorientalis sp. IM1011,transition metal ion binding,lyase activity
A0A1Q1FKG1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,Halorientalis sp. IM1011,carbohydrate derivative binding,transition metal ion binding
M0FC56,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum distributum,acting on a protein,
A0A063ZJF7,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halostagnicola,Halostagnicola sp. A56,RNA binding,DNA binding
A0A285P1H5,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Natronoarchaeaceae,Natronoarchaeum,Natronoarchaeum philippinense,acting on a protein,
A0A4V6E3J3,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. SP9,DNA binding,sequence-specific DNA binding
M1Y2Q9,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas moolapensis,lyase activity,
A0A0F7PAR7,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halanaeroarchaeum,Halanaeroarchaeum sulfurireducens,dioxygenase activity,acting on single donors with incorporation of molecular oxygen
A0A5Q0UJN8,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium sp. LC1Hm,carbon-oxygen lyase activity,hydro-lyase activity
A0A830EJL8,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,Halobellus salinus,acting on glycosyl bonds,hydrolyzing O-glycosyl compounds
A0A238YXS5,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum ezzemoulense (Halorubrum chaoviator),carbohydrate derivative binding,
A0A7D4YB67,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. CBA1229,protein-containing complex binding,protein homodimerization activity
A0A0U5H9U3,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium hubeiense,carbohydrate derivative binding,acting on ester bonds
A0A3A6QHB7,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,Halonotius pteroides,carbohydrate derivative binding,signaling receptor binding
A0A897N4G8,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,Halapricum desulfuricans,acting on ester bonds,carbon-oxygen lyase activity
J2ZX78,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,Halogranum salarium,DNA binding,transcription regulator activity
L9VPE4,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,Natronorubrum tibetense,structural molecule activity,DNA binding
F7PQR1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus tiamatea,lyase activity,transition metal ion binding
A0A371LRN3,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-4N,acting on a protein,ubiquitin-like protein transferase activity
A0A2R6MTH9,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon SW_8_68_21,carbohydrate derivative binding,ribonucleotide binding
A0A5D5ANG2,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,Natrialba swarupiae,ubiquitin-like protein transferase activity,ubiquitin-protein transferase activity
A0A2R6GHR5,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon QS_1_68_20,acting on a protein,ubiquitin-like protein transferase activity
D4H073,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,transition metal ion binding,acting on single donors with incorporation of molecular oxygen
A0A2G1X3A1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. C3,DNA binding,
L9UNS8,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,Natrialba magadii,DNA binding,transcription regulator activity
